item,type,link,description,
REDD+ safeguards (UNEP) page,page,https://reddacademy.in.howspace.com/leanring-journal-redd-plus-safeguards-under-the-unfccc ,"The United Nations Framework Convention on Climate Change (UNFCCC) defined the safeguards to be observed in the implementation of actions for Reducing Emissions from Deforestation and Forest Degradation - REDD+ (Appendix I to Decision 1 / CP.16). REDD + safeguards are also known as Cancun safeguards and aim to ensure that REDD + initiatives adequately address sensitive issues such as the rights of indigenous peoples and traditional communities, social participation, preservation of natural ecosystems, the permanence of achieved REDD+ results and the risk of displacement of the pressure from deforestation and forest degradation to other areas.

The seven Cancun safeguards state that REDD + initiatives should promote and support:

1. That actions complement or are consistent with the objectives of national forest programs and relevant international conventions and agreements;
2. Transparent and effective national forest governance structures, taking into account national legislation and sovereignty;
3. Respect for the knowledge and rights of indigenous peoples and members of local communities, by taking into account relevant international obligations, national circumstances and laws, and noting that the United Nations General Assembly has adopted the United Nations Declaration on the Rights of Indigenous Peoples;
4. The full and effective participation of relevant stakeholders, in particular indigenous peoples and local communities;
5. That actions are consistent with the conservation of natural forests and biological diversity, ensuring that the actions referred to in paragraph 70 of Decision 1/CP.16 are not used for the conversion of natural forests, but are instead used to incentivize the protection and conservation of natural forests and their ecosystem services, and to enhance other social and environmental benefits;
6. Actions to address the risks of reversals;
7. Actions to reduce displacement of emissions.

This journal focuses on the environmental and social safeguards required under the UNFCCC for REDD+ implementation, ensuring respect for human rights. By the end of this learning journal, you will be able to understand the safeguards in REDD+ under the UNFCCC framework, ensuring environmental protection and social equity.",
Learning Journal: REDD+ safeguards (UNEP),PDF,https://reddacademy.in.howspace.com/leanring-journal-redd-plus-safeguards-under-the-unfccc#widget-673731c4cea521e50102e02d ,None,
Nesting approaches for REDD+ (UNEP) page,page,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus ,"Nested REDD+ refers to a patchwork of approaches that seek to create a common accounting system and/or crediting system in order to integrate existing REDD+ projects into REDD+ programs. This can range from simply accounting for all emissions reductions and cutting out crediting of projects from the broader REDD+ program to seeking to integrate project crediting directly within the existing program�s approach to benefits sharing.

This Learning Journal on Nesting Approaches for REDD+ forms part of the revitalized REDD+ Academy. It aims to bridge the understanding and practical application of nesting, which entails aligning REDD+ initiatives across various geographical and administrative scales into a consistent accounting system at the jurisdictional (subnational or national) level, with consideration of key governance and safeguards aspects. This Learning Journal is intended to serve as a guide for government practitioners but may also be of interest to project developers, public and private funders, and REDD+ technical assistance partners. 

The Journal includes information on what is nesting, why nesting might be needed, how and when nesting approaches may be developed and implemented, and what actions may be needed to ensure adequate carbon accounting, governance, and safeguards across multiple scales of REDD+ implementation. It features case studies and examples, exploring challenges, opportunities, and emerging good practices in developing nesting approaches for REDD+. This will highlight crucial considerations to help design country-specific nesting approaches that enhance environmental integrity and enable access to and scaling up of forest carbon finance and successful REDD+ implementation. It also includes a Nesting Decision Tree to help guide decision-making on nesting, as well as information on practical considerations and steps related to carbon accounting, governance, and safeguards aspects related to nesting.

By the end of this learning journal, you will be able to:
Assess your actual knowledge about nesting in REDD+
Explain the definition, the evolution, and the benefits of nesting in REDD+ context
Recognize the need for nesting in specific REDD+ contexts
Identify key considerations and main challenges related to carbon accounting, governance, and safeguards
Recognize carbon accounting elements to be analyzed during REDD+ implementation
Identify the steps to design a REDD+ nesting governance framework
Describe how to develop integrated safeguards systems elements
Recall the main considerations for developing a plan for nesting with REDD+ context

The journal should be completed in the following order:
Assessment of learners' prior knowledge: What do you already know about nesting in REDD+?: https://docs.google.com/document/d/16geWIqVp9UgAH5b_UxOSXVJ5bkcaIHmddLv-Z1_aGaw/edit?usp=sharing
What is nesting? Benefits of nesting- What and why nesting: https://docs.google.com/presentation/d/17266UHc9nhjEH4vwFND7K0pr0cJ_fghEsW6u69MKfw4/edit?usp=sharing
Nesting evolution in REDD+ context -Nesting Evolution in REDD+ Context: https://docs.google.com/document/d/17G1ME7TPuhbZRUdXt1qmUnRpkpwCCC9tU__YWc41GSI/edit?usp=sharing
Nesting Decision Tree- Nesting Decision Tree [interactive infographic]: https://docs.google.com/presentation/d/1R1vjSPUiOyGh-wsayMyFi4ZXi_1HDrDQUpnJ7gRMu5g/edit?usp=drive_link
Carbon accounting in the context of REDD+ nesting-Carbon Accounting Elements [interactive presentation]: https://docs.google.com/presentation/d/1yfC_0KbJmegD6EBeNn4acAFU3yE9GWwa4B3Y4rqDJH0/edit?usp=sharing
How to design a REDD+ nesting governance framework- Governance [storyboard]: https://docs.google.com/document/d/1kmmeFO0TTrulBbzfV8MGPCiVXkF0tzbpxresIljpZgo/edit?tab=t.0
Safeguards in the context of REDD+ nesting- Safeguards [storyboard]: https://docs.google.com/document/d/1r2Ff9RCWINId5x6EpfsqTMXQGn6uF0Y7ywNdsCksk3k/edit?tab=t.0
Key conclusions and takeaways- Key conclusions and takeaways [video storyboard]: https://docs.google.com/document/d/1NN_acgifS6kNOqGJdfOOKPysGH1xrayQoq4TbqIxGLQ/edit?tab=t.0
Your learning journey is concluded: What do you know now about nesting in REDD+?- 9_Final quiz: https://docs.google.com/document/d/1aioKtduxlvylExFA2oXR2aa8UOK1eJsAMPCpuntkk8Q/edit?usp=sharing",
Learning Journal: Nesting approaches for REDD+ (UNEP),PDF, https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-673c954930a98d49c70692b8 ,None,
"
Nesting defined",NA,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-67234a44456d361a19031347,Explore the interactive presentation to clarify the definition and the benefits of nesting in the REDD+ context. Click on the arrow to proceed with the presentation.,
Nesting evolution in REDD+ context,NA,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-67234b03d2c8a1ead90f58a4,"Travel through the interactive timeline to identify the evolution of nesting in REDD+ context. Click on ""Start"" to proceed with the presentation.",
Nesting decision tree,NA,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-67234b71024ddc7cf302801a,"Navigate the interactive nesting decision tree to recognize the need for nesting in specific REDD+ contexts. Click on ""Start"" to proceed with the tool.",
Carbon accounting in the context of REDD+ nesting,NA,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-67234c840d57507c810da91a,Explore the interactive presentation to recognize carbon accounting elements to be analyzed during REDD+ implementation and learn from an example in Guatemala to see the accounting elements in action. Click on the arrow to proceed with the presentation.,
REDD+ nesting governance framework,NA,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-67322bf144bf6bc21c076ad9,Explore the interactive infographic to identify the steps to follow to develop a REDD+ governance nesting system and learn from an example of Cambodia's governance system. Click on the arrow to proceed with the infographic.,
"
Safeguards in the context of REDD+ nesting",NA,https://reddacademy.in.howspace.com/learning-journal-nesting-approaches-for-redd-plus#widget-67322bcf0d9b2993ef01bf1b,Explore the interactive infographic to describe key opportunities and elements of how to develop an integrated safeguards system. Click on the arrow to proceed with the infographic.,
Drivers of Deforestation and Degradation page,Page,https://reddacademy.in.howspace.com/learning-journal-drivers-of-deforestation-and-forest-degradation ,"The Learning Journal discusses the main drivers behind deforestation and forest degradation, such as agriculture, logging, and infrastructure development.",
Learning Journal: Drivers of Deforestation and Degradation,PDF,https://reddacademy.in.howspace.com/learning-journal-drivers-of-deforestation-and-forest-degradation#widget-6737369bc9de14797007d185,None,
Climate Change and the Role of Forests page,page,https://reddacademy.in.howspace.com/learning-journal-climate-change-and-role-of-forests,"This Learning Journal discusses the importance of engaging stakeholders, including indigenous communities, in REDD+ planning and implementation.",
Learning Journal: Climate Change and the Role of Forests,PDF,https://reddacademy.in.howspace.com/learning-journal-climate-change-and-role-of-forests#widget-67373788ef87badd6105686e,None,
REDD+ Finance (UNEP) page,page,https://reddacademy.in.howspace.com/learning-journal-redd-plus-finance,"The Learning Journal explains the financial aspects of REDD+ implementation, including funding sources and mechanisms for distributing resources for forest conservation.",
Learning Journal: REDD+ Finance (UNEP),PDF,https://reddacademy.in.howspace.com/learning-journal-redd-plus-finance#widget-6737367fc03082ab190ed7ac,None,
Good Governance page,Page,https://reddacademy.in.howspace.com/learning-journal-good-governance,"This Learning Journal emphasizes the role of good governance in REDD+, focusing on transparency, accountability, and stakeholder trust",
Learning Journal: Good Governance,PDF,https://reddacademy.in.howspace.com/learning-journal-good-governance#widget-6737387d95e45cf83e04e6e8,None,
Approaches for the Allocation of Incentives page,page,https://reddacademy.in.howspace.com/learning-journal-approaches-for-the-allocation-of-incentives ,This Learning Journal discusses approaches for the allocation of incentives as a way to encourage stakeholder actions for REDD+.,
Learning Journal: Approaches for the Allocation of Incentives,PDF,https://reddacademy.in.howspace.com/learning-journal-approaches-for-the-allocation-of-incentives#widget-67373904fd788e1b1403b6a6,None,
Policy and Measures for REDD+ Implementation page,page,https://reddacademy.in.howspace.com/learning-journal-policies-and-measures-for-redd-plus-implementation,Study different Policies and Measures that can be taken or mandated by Governments to implement REDD+.,
Learning Journal: Policy and Measures for REDD+ Implementation,PDF,https://reddacademy.in.howspace.com/learning-journal-policies-and-measures-for-redd-plus-implementation#widget-673c6dedab4728b3b60849ed,None,
Stakeholder Engagement in REDD+ (UNDP) page,Page,https://reddacademy.in.howspace.com/learning-journal-stakeholder-engagement-in-redd-plus,"Understand the significance of stakeholder participation in REDD+ programs and best practices for inclusive, transparent decision-making.",
Learning Journal: Stakeholder Engagement in REDD+ (UNDP),PDF,https://reddacademy.in.howspace.com/learning-journal-stakeholder-engagement-in-redd-plus#widget-673736ce82263bab0a063b6b,None,
Asia Pacific Learning Lab on Forest Carbon Markets,page,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets,"The Learning Lab aimed to equip technical practitioners in Asia Pacific countries with a comprehensive understanding of various carbon markets, including compliance and voluntary forest carbon markets, along with the underlying standards and principles. Participants gained insights into the benefits and risks of engaging in carbon markets, accessing results-based finance, and evaluating different forest carbon mechanisms.",
Asia Pacific Knowledge Exchange on Nesting Approaches and Results-Based Finance,page,https://reddacademy.in.howspace.com/asia-pacific-knowledge-exchange-on-nesting-approaches-and-results-based-finance,"The Knowledge Exchange facilitated a cross-country dialogue among REDD+ decision-makers, focusing on sharing national approaches and priorities for REDD+ implementation, including the nesting of sub-national and project-level initiatives. These discussions dove into the challenges governments face in effectively participating in high-integrity forest carbon finance, drawing from international examples and lessons learned.",
Salvaguardas e Integridad,page,https://reddacademy.in.howspace.com/salvaguardas-e-integridad,"Site of the Working Group (WG) on Safeguards and Integrity in Latin America and the Caribbean, a virtual space where you will find all the materials produced by the WG, the recordings of the sessions, specialised bibliography, surveys and all other tools relevant to the objective of our learning community.",
Drivers of deforestation (FAO),page,https://reddacademy.in.howspace.com/drivers-of-deforestation-fao,"Deforestation and forest degradation are complex transboundary processes with many direct as well as underlying causes. A good understanding of why and where forest disturbances occur is instrumental for the development of targeted policies and actions aiming to reduce the loss of forests and the associated carbon emissions. ?

Carefully and systematically analysing and comprehensively addressing all direct and underlying drivers of deforestation and degradation of forests is the priority and key prerequisite to effectively reducing emissions from deforestation and forest degradation and thus enhancing forest carbon stocks in every REDD+ country. While drivers of deforestation vary in different places, particular attention should be given to addressing the conversion of forests to agricultural land, which is by far the greatest driver globally. Overexploitation and unsustainable forest management practices are the main human-induced causes of forest degradation. Measures and strategies to address drivers should seek to harmonize different development objectives taking into account the need for increased food production and improved livelihoods as well as climate change mitigation and adaptation and enhanced environmental conservation. A cross-sectoral �landscape approach�, encompassing all land uses would contribute to halting both deforestation and forest degradation while meeting future demands for food and nutrition.

The Central African Forest Initiative (CAFI) and FAO are collaborating on the development of a standardized approach to assess direct drivers of deforestation and forest degradation, piloted in six countries in Central Africa: Cameroon, Central African Republic, Equatorial Guinea, Republic of Congo, Democratic Republic of Congo, Gabon.

This journal discusses the main drivers behind deforestation and forest degradation, such as agriculture, logging, and infrastructure development. By the end of this learning journal, you will be able to gain insight into the primary causes of deforestation and degradation and how they relate to REDD+ activities.",
PAM (FAO),page,https://reddacademy.in.howspace.com/pam-fao,"Policies and measures (PAMs) can be understood as actions taken and/or mandated by governments to achieve a set of objectives. They may consist of the design or reform of policies or legal and regulatory frameworks, as well as actual investments (programmes and projects). In the context of REDD+, PAMs drive the implementation of REDD+ activities, either as a prime objective or alongside other priorities (such as integrated rural development and/or resilience to climate change and natural disasters). PAMs to achieve REDD+ may not be new or innovative, since many countries have already established PAMs to address deforestation or forest degradation, and/or to promote conservation and sustainable management of forests. However, REDD+ provides an opportunity to look at issues driving forest loss, and corresponding solutions, from a wider crosssectoral perspective. With this approach, and building on existing interventions, the objective will be to ensure that relevant efforts are sustained and improved on in order to increase their impact.

This module looks at different policies and measures to effectively implement REDD+, including policy frameworks and legal arrangements. By the end of this learning journal, you will be able to learn about the various policy tools and measures used in the successful implementation of REDD+ strategies.",
Gender and REDD+ (UNDP),page,https://reddacademy.in.howspace.com/gender-and-redd-plus-undp,"Women from poor, forest-dependent communities play a key role in the management of forests, and yet they are frequently marginalised from decision-making in communities. This is a problem as gender equity is essential for tackling more sustainable forest management, and to achieving the aims of REDD+, which aims to reduce emissions and conserve forests in specific countries.

REDD+ aims to compensate countries that reduce emissions from land use and land use change, as well as conserving, sustainably managing or enhancing forests, as a means of mitigating climate change.

Women play a key role in managing forests but are often left on the sidelines of international and national policymaking. The same is true when it comes to sharing the benefits of climate investment finance.",
Social inclusion and stakeholder engagement (UNDP),page,https://reddacademy.in.howspace.com/social-inclusion-and-stakeholder-engagement-undp,"No forest solution or REDD+ action will succeed and endure unless the diverse forest stakeholders and rightsholders are fully and effectively engaged in defining and implementing policies, partnerships and financing schemes. This is particularly critical in the case of indigenous peoples and local communities, as many international agreements and policies in the climate arena have clearly stated over the years, from the UNFCCC to global partnerships for sustainable development.

Forests are the homeland and primary livelihood of some 70 million indigenous peoples, as well as countless rural communities living in or around forests. These stakeholders have political, territorial, economic and land-tenure rights, claims, and needs that should be respected and promoted in REDD+. They also possess unique knowledge of forests and sustainable forest management that deserves recognition and support.

Social inclusion is ultimately about full and equal engagement of the diverse stakeholders and rightsholders to forge public policies and field actions. Hence a broad stakeholder engagement approach is required, so that diverse governmental sectors and agencies, civil society actors, indigenous peoples, development practitioners, the private sector and the development financiers, among others, work together to devise, implement and monitor forest solutions to the climate emergency.

This jorunal discusses the importance of engaging stakeholders, including indigenous communities, in REDD+ planning and implementation. By the end of this learning journal, you will be able to understand the significance of stakeholder participation in REDD+ programs and best practices for inclusive, transparent decision-making.",
REDD+ finance (UNEP),page,https://reddacademy.in.howspace.com/redd-plus-finance-unep,"All IPCC pathways to keep global warming below 1.5�C are fully dependent on deforestation falling to net zero by 2030. The scale of financing required to achieve the full climate mitigation potential of forests will be substantial, perhaps as high as 5.5% of national GDP for tropical forest countries.

Development finance in the form of grants and concessional loans will still play a role in supporting implementation of REDD+ and will contribute to upfront finance. It is unlikely, however, that this approach will provide the multiple tens of billions of dollars required to achieve forest-based mitigation results at the scale necessary by the end of the decade. Achieving the level of REDD+ finance compatible with the 2030 mitigation goals will need large-scale investments from the private sector and donor support to massively scale up results-based payments.

The UN-REDD Programme has mobilized $1 billion US in REDD+ financing since inception, including $350 million US in results-based payments. While REDD+ readiness will continue to be necessary in a number of places, the bulk of finance needed for the coming decade will be in support of the implementation of actions that result in reduced emissions and increased carbon capture from forests.

The scaling up of REDD+, which is necessary to meet the Paris Agreement goals, will require financing for a spectrum of actions including readiness, implementation and ultimately, for ensuring integrity in emission reductions. The growing and diverse supply of forest-based mitigation results needs to be met by a complementary spectrum of public and private results-based finance.

This journal explains the financial aspects of REDD+ implementation, including funding sources and mechanisms for distributing resources for forest conservation. By the end of this learning journal, you will be able to explore the financial tools available for REDD+ programs, including carbon markets, donor funding, and national finance systems.",
Repositorio Sistemas de Información de Salvaguardas,page,https://reddacademy.in.howspace.com/repositorio-sistemas-de-informacion-de-salvaguardas,Compilation of manuals and guides created by the UN-REDD Programme on safeguards information systems.,
Repositorio SIS,page,https://reddacademy.in.howspace.com/repositorio-sis,Compilation of manuals and guides created by the UN-REDD Programme on safeguards information systems.,
Repositorio Género,page,https://reddacademy.in.howspace.com/repositorio-genero,Compilation of manuals and guides about monitoring social inclusion and gender in REDD+ ,
Repositorio Pueblos Indígenas y Comunidades Locales,page,https://reddacademy.in.howspace.com/repositorio-pueblos-indigenas-y-comunidades-locales,"Compilation of guides, documents and papers related to Indigenous Peoples rights and participation in REDD+",
Repositorio Mercados de CO2,page,https://reddacademy.in.howspace.com/repositorio-mercados-de-co2,Compilation of guides and tools for developing and implementing high integrity carbon markets,
Repositorio Otros,page,https://reddacademy.in.howspace.com/repositorio-otros,"Compilation of guides, documents and papers related to carbon rights, legal rights, policies, grievance mechanism that are relevant for safeguards experts ",
Gender Publications,page,https://reddacademy.in.howspace.com/gender-and-voluntary-carbon-markets#widget-65d86a67c4e6321d9a03dad3,None,
Gender Articles,page,https://reddacademy.in.howspace.com/gender-articles,None,
Resources,page,https://reddacademy.in.howspace.com/gender-and-voluntary-carbon-markets#widget-65d86a67c4e6321d9a03dad3,None,
Unlocking African REDD+ Finance,Page ,https://reddacademy.in.howspace.com/unlocking-african-redd-plus-finance,"This Community of Practice (CoP) aims to build capacity of key stakeholders on REDD+ results-based finance and carbon markets through a long-term, learning experience.",
Learning Lab on Forest Carbon Market Handbook,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-655ca3aef74cc8b95e08d815,Learning Lab on Forest Carbon Market Handbook,
Introduction to International REDD+ Finance,Video,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-654862eab8bf9ffa960f7cc0,Introduction to International REDD+ Finance Video,
Keynote International REDD+ Finance,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-654862524ccb28e21b0c5d93,"Keynote International REDD+ Finance
Landscape of Climate Finance: Sources, channels, and recipients
Financing Nature-based Solutions and REDD+ (Public vs Private)
Overview of REDD+ Financing Mechanisms
REDD+ Financing: From readiness, implementation to Results-based Finance (RBF)
RBF Disbursements to REDD+ Countries
Where lies the future of REDD+ financing?",
Working Sheet for Country Group/Exercise,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6548625472f8dbf0000a253b,Working Sheet for Country Group/Exercise,
Financing for forests under the Paris Agreement,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6548638bfc6c9d05b90999d1,"Article 5 of the Paris Agreement
A stand-alone article on forests
A reference to global forests (also making reference to other ecosystems covered by Article 4.1(d) of the Convention)
Effectively lifting the existing Warsaw Framework on REDD+ to treaty-level
Sends a strong political signal on the importance of ecosystems, in particular forests, in implementing the agreement
Reassures Parties and other stakeholders that the implementation of existing climate change mitigation approaches in the forest sector and REDD+ is encouraged and recognized
Strong synergies with goals of other Conventions, Sustainable Development Goals, the UN Strategic Plan for Forests, etc.",
Article 6.2 and 6.4 of the Paris Agreement,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-65486391f1fe7726a10601db,Article 6.2 and 6.4 of the Paris Agreement,
Implications for jurisdictional and project-based approaches through VCM,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-654863987ef496145207339c,"Origins and description of the VCM
Current status and expected growth
Relationship with regulated carbon markets
Challenges and criticisms
What is next for the VCM?",
VCM workshop 2,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6548959468b4d37f3d02c047,"Introduction to Voluntary Carbon Markets
What is VCM, who are the key actors of VCM and what are their roles?
How does the VCM operate?
What is VCM relation to the Paris Agreement and Article 6?
How REDD+ initiatives are integrated into VCM?
What makes high quality carbon credits in the VCM?
How can the governments proactively and strategically engage with the VCM?",
Jurisdictional REDD+,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6548a52e3bb14148cb07d113,"Jurisdictional REDD+: Sources of RBCF and standards programs
How do Standard Programs work?
Common Jurisdictional Standards Procedures and Requirements
Jurisdictional REDD+: Main REDD+ Standards Programs and related sources of RBCF
Key considerations when designing a JP and selecting a Jurisdictional Standard",
ART Overview,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6548a561954330bda107aee9,"ART Overview
A global voluntary carbon program (architecture) to register, verify and issue high-quality REDD+ emissions reduction credits to countries and jurisdictions to attract REDD+ finance at scale
ART aims to promote national ambition and contribute to Paris Agreement goals
Governed and managed by globally recognized, independent, objective experts",
VERRA - UN-REDD,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6548a5803bb14148cb07d13d,VERRA - UN-REDD,
What is Nesting? Why and when is nesting needed?,Video,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6549a744c107c653110ef78c,What is Nesting? Why and when is nesting needed? Video,
Introduction to Nesting for REDD+ Projects,PDF,https://reddacademy.in.howspace.com/asia-pacific-learning-lab-on-forest-carbon-markets#widget-6549a742dac45dec07042a59,Introduction to Nesting for REDD+ Projects,
